year,round,pick,team,player,keeper
2020,5,3,B T C,Todd Gurley II,False
2020,5,4,Weak  Knees,Stefon Diggs,False
2020,5,5,Stop Scoring  On Me,Keenan Allen,False
2020,5,6,Trust the Process,Melvin Gordon III,False
2020,5,7,The Sicilian  Defense ,Mark Ingram II,False
2020,5,8,First Round Manager ,DeVante Parker,False
2020,5,9,Herbert Fully Loaded,Tyler Lockett,False
2020,5,10,Doug Dimmadome,Raheem Mostert,False
2020,6,1,Doug Dimmadome,Zach Ertz,False
2020,6,2,Herbert Fully Loaded,A.J. Brown,False
2020,6,3,First Round Manager ,Evan Engram,False
2020,6,4,The Sicilian  Defense ,Russell Wilson,False
2020,6,5,Trust the Process,Calvin Ridley,False
2020,6,6,Stop Scoring  On Me,Le'Veon Bell,False
2020,6,7,Weak  Knees,Darren Waller,False
2020,6,8,B T C,A.J. Green,False
2020,6,9,Full Chubb,Hunter Henry,False
2020,6,10,Fantasy  Football Team ,J.K. Dobbins,False
2020,7,1,Fantasy  Football Team ,Aaron Rodgers,False
2020,7,2,Full Chubb,Kyler Murray,False
2020,7,3,B T C,Courtland Sutton,False
2020,7,4,Weak  Knees,Marlon Mack,False
2020,7,5,Stop Scoring  On Me,CeeDee Lamb,False
2020,7,6,Trust the Process,Cam Akers,False
2020,7,7,The Sicilian  Defense ,Tyler Higbee,False
2020,7,8,First Round Manager ,Deshaun Watson,False
2020,7,9,Herbert Fully Loaded,DJ Chark Jr.,False
2020,7,10,Doug Dimmadome,Ronald Jones II,False
2020,8,1,Doug Dimmadome,49ers D/ST,False
2020,8,2,Herbert Fully Loaded,David Montgomery,False
2020,8,3,First Round Manager ,Phillip Lindsay,False
2020,8,4,The Sicilian  Defense ,Devin Singletary,False
2020,8,5,Trust the Process,Kareem Hunt,False
2020,8,6,Stop Scoring  On Me,Justin Jefferson,False
2020,8,7,Weak  Knees,D'Andre Swift,False
2020,8,8,B T C,Julian Edelman,False
2020,8,9,Full Chubb,Terry McLaurin,False
2020,8,10,Fantasy  Football Team ,Jarvis Landry,False
2020,9,1,Fantasy  Football Team ,Rob Gronkowski,False
2020,9,2,Full Chubb,Michael Gallup,False
2020,9,3,B T C,Brandin Cooks,False
2020,9,4,Weak  Knees,Deebo Samuel,False
2020,9,5,Stop Scoring  On Me,Jordan Howard,False
2020,9,6,Trust the Process,Dak Prescott,False
2020,9,7,The Sicilian  Defense ,Jerry Jeudy,False
2020,9,8,First Round Manager ,Tyler Boyd,False
2020,9,9,Herbert Fully Loaded,Austin Hooper,False
2020,9,10,Doug Dimmadome,Henry Ruggs III,False
2020,10,1,Doug Dimmadome,Marquise Brown,False
2020,10,2,Herbert Fully Loaded,Will Fuller V,False
2020,10,3,First Round Manager ,Ravens D/ST,False
2020,10,4,The Sicilian  Defense ,Drew Brees,False
2020,10,5,Trust the Process,Joe Burrow,False
2020,10,6,Stop Scoring  On Me,AJ Dillon,False
2020,10,7,Weak  Knees,Kerryon Johnson,False
2020,10,8,B T C,Mecole Hardman,False
2020,10,9,Full Chubb,James White,False
2020,10,10,Fantasy  Football Team ,Emmanuel Sanders,False
2020,11,1,Fantasy  Football Team ,Jamison Crowder,False
2020,11,2,Full Chubb,Hayden Hurst,False
2020,11,3,B T C,Harrison Butker,False
2020,11,4,Weak  Knees,Justin Tucker,False
2020,11,5,Stop Scoring  On Me,Matthew Stafford,False
2020,11,6,Trust the Process,Adam Trautman,False
2020,11,7,The Sicilian  Defense ,Marvin Jones Jr.,False
2020,11,8,First Round Manager ,Sony Michel,False
2020,11,9,Herbert Fully Loaded,Carson Wentz,False
2020,11,10,Doug Dimmadome,Wil Lutz,False
2020,12,1,Doug Dimmadome,Taysom Hill,False
2020,12,2,Herbert Fully Loaded,Alexander Mattison,False
2020,12,3,First Round Manager ,Sterling Shepard,False
2020,12,4,The Sicilian  Defense ,Ke'Shawn Vaughn,False
2020,12,5,Trust the Process,Tua Tagovailoa,False
2020,12,6,Stop Scoring  On Me,Steelers D/ST,False
2020,12,7,Weak  Knees,Tee Higgins,False
2020,12,8,B T C,Tevin Coleman,False
2020,12,9,Full Chubb,Matt Breida,False
2020,12,10,Fantasy  Football Team ,Darrell Henderson Jr.,False
2020,13,1,Fantasy  Football Team ,Tom Brady,False
2020,13,2,Full Chubb,Josh Allen,False
2020,13,3,B T C,Chase Edmonds,False
2020,13,4,Weak  Knees,Matt Ryan,False
2020,13,5,Stop Scoring  On Me,Jalen Reagor,False
2020,13,6,Trust the Process,Van Jefferson,False
2020,13,7,The Sicilian  Defense ,Adrian Peterson,False
2020,13,8,First Round Manager ,Matt Prater,False
2020,13,9,Herbert Fully Loaded,Christian Kirk,False
2020,13,10,Doug Dimmadome,Cam Newton,False
2020,14,1,Doug Dimmadome,N'Keal Harry,False
2020,14,2,Herbert Fully Loaded,Bills D/ST,False
2020,14,3,First Round Manager ,Jared Cook,False
2020,14,4,The Sicilian  Defense ,Bears D/ST,False
